Colony,Nest,Day,ScaledX,ScaledY,SexID
11,Circle,4,3.473164902,1.170882644,"A,M,1,1"
11,Circle,4,2.812461713,0.837754986,"A,M,2,2"
11,Circle,4,4.124614544,1.426280515,"A,M,3,3"
11,Circle,4,3.745219155,1.846391506,"A,M,4,4"
11,Circle,4,3.49907483,1.809377321,"A,M,5,5"
11,Circle,4,3.608266674,1.779765974,"A,M,6,6"
11,Circle,4,3.682295042,1.950031221,"A,M,7,7"
11,Circle,4,3.971005679,1.924121293,"A,M,8,8"
11,Circle,4,4.054287594,1.753856045,"A,M,9,9"
11,Circle,4,4.227019836,1.84392451,"A,F,1,10"
11,Circle,4,4.380012415,2.379395758,"A,F,2,11"
11,Circle,4,3.474399325,2.495374152,"A,M,10,12"
11,Circle,4,3.245527669,1.7649603,"A,M,11,13"
11,Circle,5,3.722419929,0.754448399,"A,M,1,1"
11,Circle,5,3.444839858,0.943060498,"A,M,2,2"
11,Circle,5,3.81316726,1.233096085,"A,M,3,3"
11,Circle,5,4.327402135,0.975088968,"A,M,4,4"
11,Circle,5,3.951957295,1.28113879,"A,M,5,5"
11,Circle,5,3.731316726,1.355871886,"A,M,6,6"
11,Circle,5,4.197508897,1.473309609,"A,M,7,7"
11,Circle,5,3.247330961,1.912811388,"A,M,8,8"
11,Circle,5,3.596085409,2.008896797,"A,M,9,9"
11,Circle,5,3.364768683,2.080071174,"A,?,?,10"
11,Circle,5,3.939501779,2.295373665,"A,M,10,11"
11,Circle,5,3.754448399,2.53202847,"A,F,1,12"
11,Circle,5,2.212930605,2.669631673,"A,F,2,13"
11,Circle,5,3.225978648,1.654211744,"A,M,11,14"
11,Circle,5,2.632859431,1.599644128,"A,M,12,15"
11,Circle,6,4.208332721,0.702818015,"A,M,1,1"
11,Circle,6,4.117647059,0.690564338,"A,M,2,2"
11,Circle,6,3.453431985,0.945465074,"A,M,3,3"
11,Circle,6,3.198529412,0.962623162,"A,M,4,4"
11,Circle,6,3.063726103,1.045955882,"A,M,5,5"
11,Circle,6,3.512255515,1.288602941,"A,M,6,6"
11,Circle,6,4.159314338,0.962623162,"A,M,7,7"
11,Circle,6,4.272058824,1.126838235,"A,M,8,8"
11,Circle,6,3.816176471,1.653799632,"A,M,9,9"
11,Circle,6,3.725490809,2.161152574,"A,F,1,10"
11,Circle,6,2.850490809,1.624387868,"A,M,10,11"
11,Circle,6,2.924020221,1.751838235,"A,F,2,12"
11,Circle,6,3.781862132,2.271446691,"A,F,3,13"
11,Circle,6,2.150735294,1.930147059,"A,M,11,14"
11,Circle,6,2.643382353,1.917279412,"A,F,4,15"
11,Circle,8,4.11258473,0.5598211,"A,M,1,1"
11,Circle,8,3.90079377,0.884938802,"A,M,2,2"
11,Circle,8,4.105153469,0.92209511,"A,M,3,3"
11,Circle,8,4.058708083,1.288084752,"A,M,4,4"
11,Circle,8,3.553382283,1.589050853,"A,M,5,5"
11,Circle,8,3.670424656,1.57418833,"A,M,6,6"
11,Circle,8,3.363885108,1.934604525,"A,F,1,7"
11,Circle,8,3.698291887,2.020064035,"A,F,2,8"
11,Circle,8,3.278425598,2.328461398,"A,F,3,9"
11,Circle,8,3.075923715,2.179836163,"A,F,4,10"
11,Circle,8,3.393610155,2.768763657,"A,F,5,11"
11,Circle,8,3.928661002,2.581124298,"A,F,6,12"
11,Circle,8,2.743993404,2.230615832,"A,M,7,13"
11,Circle,8,4.199902056,1.596482115,"A,F,7,14"
11,Circle,8,3.976964203,1.57418833,"A,M,8,15"
11,Circle,8,4.888532931,1.056476475,"A,F,8,16"
11,Circle,9,3.227941176,0.558823529,"A,M,1,1"
11,Circle,9,3.202205882,0.863970588,"A,M,2,2"
11,Circle,9,2.860294118,0.886029412,"A,M,3,3"
11,Circle,9,3.742647059,0.78125,"A,M,4,4"
11,Circle,9,4.180147059,1.102941176,"A,M,5,5"
11,Circle,9,4.340073529,1.152573529,"A,M,6,6"
11,Circle,9,3.555147059,3.215685662,"A,F,1,7"
11,Circle,9,3.472426471,1.259191176,"A,M,7,8"
11,Circle,9,3.163602941,1.555147059,"A,F,2,9"
11,Circle,9,3.435661765,1.628676471,"A,M,8,10"
11,Circle,9,3.455882353,1.805147059,"A,M,9,11"
11,Circle,9,3.909926471,1.586397059,"A,M,10,12"
11,Circle,9,3.220588235,2.108455882,"A,F,3,13"
11,Circle,9,3.473038603,2.719976103,"A,M,11,14"
11,Circle,9,3.900123162,2.398897059,"A,F,4,15"
11,Circle,9,3.972426471,2.085170956,"A,F,5,16"
11,Circle,10,3.475972687,0.854595102,"A,M,1,1"
11,Circle,10,3.31991619,1.025514123,"A,M,2,2"
11,Circle,10,5.014243871,1.05523917,"A,F,1,3"
11,Circle,10,3.710676085,2.597844637,"A,F,2,4"
11,Circle,10,3.675998102,2.112336155,"A,F,3,5"
11,Circle,10,3.81471375,1.768021646,"A,F,4,6"
11,Circle,10,4.062423713,1.82747174,"A,F,5,7"
11,Circle,10,3.519941605,1.356823923,"A,F,6,8"
11,Circle,10,3.111840861,1.300470808,"A,M,3,9"
11,Circle,10,3.004087566,1.421228811,"A,M,4,10"
11,Circle,10,2.465321088,0.871315441,"A,M,5,11"
11,Circle,10,2.463463273,1.737057436,"A,F,7,12"
11,Circle,10,2.587936907,2.145776833,"A,M,6,13"
11,Circle,10,3.04310169,1.900545195,"A,F,8,14"
11,Circle,10,2.641813555,2.591652538,"A,F,9,15"
11,Circle,11,3.049213918,0.838856775,"A,M,1,1"
11,Circle,11,2.823392857,0.973858616,"A,M,2,2"
11,Circle,11,4.058050442,3.18728461,"A,F,1,3"
11,Circle,11,2.372361929,1.931148748,"A,F,2,4"
11,Circle,11,2.887210972,2.391997423,"A,F,3,5"
11,Circle,11,3.636474595,1.456798601,"A,M,3,6"
11,Circle,11,4.181393594,1.062836892,"A,M,4,7"
11,Circle,11,4.053755523,1.319342784,"A,M,5,8"
11,Circle,11,3.588610088,2.052037923,"A,F,4,9"
11,Circle,11,3.64015648,2.700049705,"A,F,5,10"
11,Circle,11,4.328668999,2.90746134,"A,F,6,11"
11,Circle,11,3.674521355,2.932008468,"A,F,7,12"
11,Circle,11,4.420103093,1.444526878,"A,F,8,13"
11,Circle,11,4.876656848,1.119293078,"A,?,?,14"
11,Circle,12,3.020597212,0.676337604,"A,M,1,1"
11,Circle,12,3.291885833,0.706480784,"A,M,2,2"
11,Circle,12,3.334589299,1.331951771,"A,M,3,3"
11,Circle,12,3.882191032,1.068198945,"A,M,4,4"
11,Circle,12,2.621200075,2.630619819,"A,F,1,5"
11,Circle,12,2.485555765,2.731098342,"A,F,2,6"
11,Circle,12,3.482793896,2.640668802,"A,F,3,7"
11,Circle,12,3.397386963,3.180732856,"A,F,4,8"
11,Circle,12,3.824415976,1.645943858,"A,F,5,9"
11,Circle,12,4.610022607,0.827053504,"A,F,6,10"
11,Circle,12,4.446119066,1.094574228,"A,F,7,11"
11,Circle,13,4.392254601,1.848159509,"A,F,1,1"
11,Circle,13,4.844708589,2.45398773,"A,F,2,2"
11,Circle,13,3.114135353,1.119631902,"A,F,3,3"
11,Circle,13,3.05278566,1.602760736,"A,F,4,4"
11,Circle,13,2.181110046,1.789365414,"A,F,5,5"
11,Circle,13,2.843174847,0.991819402,"A,M,1,6"
11,Circle,13,3.666282592,0.743865031,"A,M,2,7"
11,Circle,13,4.502172163,1.411042945,"A,F,6,8"
11,Circle,13,4.351355445,0.92791411,"A,M,3,9"
11,Circle,13,2.554319402,2.45398773,"A,F,7,10"
11,Circle,13,2.358128834,0.814162193,"A,?,?,?"
11,Circle,13,4.047800997,1.70117523,"A,F,8,11"
11,Tube,12,6.407945953,3.569987209,"A,M,1,1"
11,Tube,12,4.478563616,1.98297566,"A,M,2,2"
11,Tube,13,6.06314519,3.72825766,"A,M,1,1"
11,Tube,13,6.537055516,3.294681334,"A,M,2,2"
11,Tube,13,5.884168026,1.751954027,"A,M,3,3"
11,Tube,13,5.125408983,1.740610444,"A,M,4,4"
12,Tube,3,3.700638337,1.371105592,"A,M,1,1"
12,Tube,3,2.271891096,1.547706034,"A,M,2,2"
12,Tube,3,2.132082414,1.676477189,"A,M,3,3"
12,Tube,3,1.440397351,2.857492642,"A,F,1,4"
12,Tube,3,1.609639441,2.872209345,"A,M,4,5"
12,Tube,3,2.514716703,3.405689845,"A,M,5,6"
12,Tube,3,3.062301325,3.357247976,"A,F,2,7"
12,Tube,3,3.460264901,3.379935614,"A,M,6,8"
12,Tube,3,3.302060338,3.162864238,"A,M,7,9"
12,Tube,3,3.519131714,3.218051876,"A,M,8,10"
12,Tube,3,3.651582046,3.427764901,"A,M,9,11"
12,Tube,3,3.732523915,3.44616078,"A,M,10,12"
12,Tube,3,4.245768948,3.210080942,"A,M,11,13"
12,Tube,3,4.078979029,3.462717071,"A,M,12,14"
12,Tube,3,4.623497057,3.251777042,"A,M,13,15"
12,Tube,3,4.711797277,3.364606328,"A,F,3,16"
12,Tube,3,4.802551508,3.433283664,"A,M,14,17"
12,Tube,3,5.887293966,3.137110007,"A,M,15,18"
12,Tube,3,5.529188742,3.419179544,"A,M,16,19"
12,Tube,3,6.33124908,2.330143488,"A,M,17,20"
12,Tube,3,6.046725533,1.721854305,"A,M,18,21"
12,Tube,3,4.514348786,1.680156365,"A,M,19,22"
12,Tube,3,4.470198675,1.794210817,"A,F,4,23"
12,Tube,5,3.682142594,0.776836772,"A,M,1,1"
12,Tube,5,3.662490789,1.378653279,"A,M,2,2"
12,Tube,5,3.318594326,1.747113117,"A,F,1,3"
12,Tube,5,2.485261606,1.674649963,"A,M,3,4"
12,Tube,5,2.278924097,1.549373618,"A,M,4,5"
12,Tube,5,2.094694178,1.748341931,"A,M,5,6"
12,Tube,5,2.005650332,1.556129329,"A,M,6,7"
12,Tube,5,1.642102063,1.887743183,"A,M,7,8"
12,Tube,5,1.433308769,1.946696758,"A,F,2,9"
12,Tube,5,1.421026161,2.516580693,"A,F,3,10"
12,Tube,5,1.548760133,2.256203021,"A,F,4,11"
12,Tube,5,1.531564112,2.663964628,"A,M,8,12"
12,Tube,5,1.656840457,3.160156595,"A,M,9,13"
12,Tube,5,1.62736367,3.280521371,"A,M,10,14"
12,Tube,5,1.696144068,3.440186072,"A,M,11,15"
12,Tube,5,1.784574429,3.133137436,"A,M,12,16"
12,Tube,5,2.6958972,3.422991894,"A,F,5,16"
12,Tube,5,3.266396463,3.253500368,"A,M,13,17"
12,Tube,5,4.003316139,3.131908622,"A,M,14,18"
12,Tube,5,4.20412675,3.406411201,"A,F,5,19"
12,Tube,5,4.745762712,3.246131172,"A,M,15,20"
12,Tube,5,4.913411938,3.161385409,"A,M,16,21"
12,Tube,5,5.138785925,3.187177598,"A,M,17,22"
12,Tube,5,5.447678703,3.225865881,"A,F,6,23"
12,Tube,5,6.162490789,3.026897568,"A,M,18,24"
12,Tube,5,6.011422255,2.827929256,"A,M,19,25"
12,Tube,5,6.188282977,2.072586588,"A,M,20,26"
12,Tube,5,6.29513633,1.5899042,"A,M,20,26"
12,Tube,5,6.092483419,1.578850405,"A,M,21,27"
12,Tube,5,5.788504053,1.717022845,"A,F,7,28"
12,Tube,5,5.683492999,1.62736367,"A,M,22,28"
12,Tube,5,4.568288504,1.60525608,"A,M,23,29"
12,Tube,7,3.623323398,0.698584203,"A,M,1,1"
12,Tube,7,3.129657228,1.732488823,"A,M,2,2"
12,Tube,7,2.431073025,1.467958271,"A,M,3,3"
12,Tube,7,2.468330849,1.602086438,"A,M,4,4"
12,Tube,7,2.274590164,1.795827124,"A,M,5,5"
12,Tube,7,1.69709389,1.531296572,"A,M,6,6"
12,Tube,7,1.702682563,1.676602086,"A,M,7,7"
12,Tube,7,1.779061103,2.492548435,"A,M,8,8"
12,Tube,7,1.467958271,3.026266766,"A,M,9,9"
12,Tube,7,1.663561848,3.177160954,"A,M,10,10"
12,Tube,7,1.757637854,3.237704918,"A,M,11,11"
12,Tube,7,1.576005961,3.393256334,"A,M,12,12"
12,Tube,7,2.755836438,3.392945231,"A,M,13,13"
12,Tube,7,3.845007452,3.446348733,"A,M,14,14"
12,Tube,7,4.04247392,3.103576751,"A,F,1,15"
12,Tube,7,3.85494225,3.269994411,"A,M,15,16"
12,Tube,7,4.294584575,3.227770119,"A,M,16,17"
12,Tube,7,4.226279806,3.410333458,"A,F,2,18"
12,Tube,7,4.664679583,3.461251863,"A,M,17,19"
12,Tube,7,4.476527571,3.30942623,"A,M,18,20"
12,Tube,7,4.458830104,3.188338301,"A,M,19,21"
12,Tube,7,4.680514158,3.11661699,"A,M,20,22"
12,Tube,7,4.603204173,3.233979136,"A,M,21,23"
12,Tube,7,4.743852459,3.36438152,"A,F,3,24"
12,Tube,7,5.137853949,3.19485842,"A,M,22,25"
12,Tube,7,5.320417288,3.316877794,"A,F,4,26"
12,Tube,7,5.448956781,3.376490313,"A,M,23,27"
12,Tube,7,5.607302534,3.414679583,"A,M,24,28"
12,Tube,7,5.763785395,3.245776826,"A,M,25,29"
12,Tube,7,6.223919523,2.786264903,"A,F,5,30"
12,Tube,7,6.127980626,2.378912072,"A,M,26,31"
12,Tube,7,5.650149031,1.421385991,"A,F,6,32"
12,Tube,7,5.555761923,1.618852459,"A,M,27,33"
12,Tube,7,5.273845007,1.477272727,"A,F,7,34"
12,Tube,8,3.687702855,1.510768219,"A,M,1,1"
12,Tube,8,2.833709617,1.508264463,"A,M,2,2"
12,Tube,8,2.638367769,1.703606311,"A,M,3,3"
12,Tube,8,2.426746807,1.527047333,"A,F,1,4"
12,Tube,8,2.114951165,1.671675432,"A,M,4,5"
12,Tube,8,1.987227648,1.607813674,"A,M,5,6"
12,Tube,8,1.631605935,1.681692337,"A,M,6,7"
12,Tube,8,1.606560856,1.862007889,"A,M,7,8"
12,Tube,8,1.476333584,1.937139369,"A,M,8,9"
12,Tube,8,1.408715252,1.714250563,"A,M,9,10"
12,Tube,8,1.606560856,2.645880917,"A,M,10,11"
12,Tube,8,1.646632231,2.796143877,"A,M,11,12"
12,Tube,8,1.704231781,2.936388054,"A,?,?,13"
12,Tube,8,3.219383922,3.089782119,"A,M,12,14"
12,Tube,8,3.50864012,3.258827949,"A,M,13,15"
12,Tube,8,3.726521412,3.146130729,"A,M,14,16"
12,Tube,8,4.228024042,3.166791886,"A,M,15,17"
12,Tube,8,4.325694966,3.18933133,"A,M,16,18"
12,Tube,8,4.145379414,3.155522164,"A,M,16,19"
12,Tube,8,4.483471074,3.266341097,"A,M,16,20"
12,Tube,8,4.622464313,3.347107438,"A,M,16,21"
12,Tube,8,4.911720511,3.178061608,"A,F,2,22"
12,Tube,8,6.157024793,3.260706236,"A,M,20,23"
12,Tube,8,6.072501878,2.806160781,"A,F,3,24"
12,Tube,8,6.339218633,2.723516153,"A,F,4,25"
12,Tube,8,6.239669421,2.511269722,"A,M,21,26"
12,Tube,8,6.228399699,2.227648385,"A,?,?,27"
12,Tube,8,6.164537941,1.863260706,"A,M,22,28"
12,Tube,8,6.059353869,1.897069872,"A,M,23,29"
12,Tube,8,5.929752066,1.769346356,"A,M,24,30"
12,Tube,8,6.006761833,1.681066867,"A,M,25,31"
12,Tube,8,6.068745304,1.669797145,"A,M,26,32"
12,Tube,8,6.188955672,1.718632607,"A,M,27,33"
12,Tube,8,6.337340346,1.536438768,"A,M,28,34"
12,Tube,8,5.546581518,1.474455297,"A,F,5,35"
12,Tube,8,4.83095417,1.489481593,"A,M,29,35"
12,Tube,8,4.370773854,1.645379414,"A,M,30,36"
12,Tube,9,3.333333333,1.695906433,"A,M,1,1"
12,Tube,9,3.14875731,1.763523392,"A,M,2,2"
12,Tube,9,2.775950292,1.449195906,"A,M,3,3"
12,Tube,9,2.543859649,1.631335892,"A,M,4,4"
12,Tube,9,2.135721857,1.705652412,"A,M,5,5"
12,Tube,9,2.009014985,1.502192982,"A,M,5,5"
12,Tube,9,1.614278143,1.660575658,"A,M,6,6"
12,Tube,9,1.775096857,1.689815424,"A,M,7,7"
12,Tube,9,1.49122807,1.987085161,"A,M,8,8"
12,Tube,9,1.695906433,2.411061769,"A,M,9,9"
12,Tube,9,1.733675073,2.670564693,"A,M,10,10"
12,Tube,9,3.076876827,3.15911367,"A,F,1,11"
12,Tube,9,3.149976243,3.402777778,"A,F,2,12"
12,Tube,9,4.449318348,3.435672515,"A,M,11,13"
12,Tube,9,4.356725146,3.205409357,"A,M,12,14"
12,Tube,9,5.404482822,3.333333333,"A,F,3,15"
12,Tube,9,5.910696272,3.206017909,"A,M,13,16"
12,Tube,9,6.013035453,3.098806652,"A,M,14,17"
12,Tube,9,6.065423977,2.72721674,"A,M,15,18"
12,Tube,9,5.958210892,2.057139985,"A,F,4,19"
12,Tube,9,6.215277778,1.923123173,"A,M,15,20"
12,Tube,9,6.077607822,1.627070541,"A,M,16,21"
12,Tube,9,5.970394737,1.628289474,"A,M,17,22"
12,Tube,9,5.810794956,1.508894371,"A,M,18,23"
12,Tube,9,5.907041301,1.507675439,"A,M,19,24"
12,Tube,9,5.280824196,1.650219298,"A,M,20,25"
12,Tube,9,5.107821637,1.630725512,"A,M,21,26"
12,Tube,9,5.081017909,1.736719664,"A,M,22,27"
12,Tube,9,5.145590278,1.46747076,"A,M,23,28"
12,Tube,9,4.574195906,1.617324561,"A,M,24,29"
12,Tube,9,4.464546784,1.67093019,"A,M,25,30"
12,Tube,10,3.653774637,0.974339903,"A,M,1,1"
12,Tube,10,2.674475642,1.746621421,"A,M,2,2"
12,Tube,10,2.756290443,1.5681164,"A,M,3,3"
12,Tube,10,2.637287096,1.47886389,"A,M,4,4"
12,Tube,10,2.386885459,1.671625139,"A,M,5,5"
12,Tube,10,2.317465601,1.524111194,"A,M,6,6"
12,Tube,10,1.962936036,1.520392339,"A,M,7,7"
12,Tube,10,1.646833395,1.59600781,"A,M,8,8"
12,Tube,10,1.504276683,1.956117516,"A,M,9,9"
12,Tube,10,1.729267386,2.114168836,"A,M,10,10"
12,Tube,10,1.413164745,2.984380811,"A,M,11,11"
12,Tube,10,1.57493492,2.861658609,"A,M,12,12"
12,Tube,10,1.736705095,2.876534028,"A,F,1,13"
12,Tube,10,2.639146523,3.160407215,"A,M,13,14"
12,Tube,10,2.820132019,3.237262923,"A,M,14,15"
12,Tube,10,2.941613983,3.373620305,"A,F,2,16"
12,Tube,10,3.068055039,3.326515433,"A,M,15,17"
12,Tube,10,3.231684641,3.23912235,"A,M,16,18"
12,Tube,10,3.393454816,3.213090368,"A,M,17,19"
12,Tube,10,3.774637412,3.402751952,"A,M,18,20"
12,Tube,10,4.303333953,3.206271848,"A,M,19,21"
12,Tube,10,3.901697657,3.407089996,"A,M,20,22"
12,Tube,10,4.660343994,3.362463741,"A,F,3,23"
12,Tube,10,4.849386389,3.188917813,"A,M,21,24"
12,Tube,10,6.105740052,2.458782075,"A,M,22,25"
12,Tube,10,6.161522871,2.213337672,"A,M,23,26"
12,Tube,10,6.05243585,2.13896058,"A,M,24,27"
12,Tube,10,5.840461138,1.775753068,"A,M,25,28"
12,Tube,10,5.973099665,1.56129974,"A,M,26,29"
12,Tube,10,5.742530681,1.453452956,"A,M,27,30"
12,Tube,11,3.021776813,1.613797205,"A,M,1,1"
12,Tube,11,2.697003399,1.590507931,"A,M,2,2"
12,Tube,11,2.455311556,1.679884819,"A,M,3,3"
12,Tube,11,2.076410498,1.518126888,"A,M,4,4"
12,Tube,11,2.043680136,1.385951662,"A,M,5,5"
12,Tube,11,1.694990559,1.560927115,"A,M,6,6"
12,Tube,11,1.547709592,2.561682402,"A,M,7,7"
12,Tube,11,1.990810045,3.184794184,"A,M,8,8"
12,Tube,11,1.672331949,3.3081571,"A,M,9,9"
12,Tube,11,2.609516616,3.160247356,"A,M,10,10"
12,Tube,11,2.900302115,3.347809668,"A,M,11,11"
12,Tube,11,4.177996601,3.136329305,"A,M,12,12"
12,Tube,11,4.27366503,3.335220921,"A,M,13,13"
12,Tube,11,4.45367636,3.131293429,"A,M,14,14"
12,Tube,11,4.361782477,3.150175604,"A,M,15,15"
12,Tube,11,5.850641994,3.13255287,"A,M,16,16"
12,Tube,11,6.093277946,3.183534743,"A,M,17,17"
12,Tube,11,6.102719033,2.641616314,"A,M,18,18"
12,Tube,11,5.770392749,2.284743202,"A,M,19,19"
