Colony,Nest,Bin,BinID,BinX,BinY,BinY2
1,Circle,1,3,4.988558352,0.915331808,0.915331808
1,Circle,2,4,5.205949657,1.224256293,0.915331808
1,Circle,3,5,5.263157895,1.498855835,1.224256293
1,Circle,4,6,5.297482838,1.784897025,1.498855835
1,Circle,5,7,5.251716247,2.025171625,1.784897025
1,Circle,6,8,5.183066362,2.311212815,2.025171625
1,Circle,7,9,5.022883295,2.631578947,2.311212815
1,Circle,8,10,5.022883295,2.631578947,2.631578947
2,Circle,1,3,4.3412527,0.539956803,0.539956803
2,Circle,2,4,4.44924406,0.701943844,0.539956803
2,Circle,3,5,4.481641469,0.842332613,0.701943844
2,Circle,4,6,4.503239741,1.004319654,0.842332613
2,Circle,5,7,4.492440605,1.166306695,1.004319654
2,Circle,6,8,4.438444924,1.306695464,1.166306695
2,Circle,7,9,4.352051836,1.479481641,1.306695464
2,Circle,8,10,4.352051836,1.479481641,1.479481641
3,Circle,1,3,4.924406048,0.874730022,0.874730022
3,Circle,2,4,5.140388769,1.187904968,0.874730022
3,Circle,3,5,5.237580994,1.51187905,1.187904968
3,Circle,4,6,5.269978402,1.803455724,1.51187905
3,Circle,5,7,5.24838013,2.095032397,1.803455724
3,Circle,6,8,5.161987041,2.397408207,2.095032397
3,Circle,7,9,5.043196544,2.721382289,2.397408207
3,Circle,8,10,5.043196544,2.721382289,2.721382289
4,Circle,1,3,4.701327434,0.597345133,0.597345133
4,Circle,2,4,4.845132743,0.873893805,0.597345133
4,Circle,3,5,4.955752212,1.084070796,0.873893805
4,Circle,4,6,4.966814159,1.283185841,1.084070796
4,Circle,5,7,4.933628319,1.515486726,1.283185841
4,Circle,6,8,4.889380531,1.736725664,1.515486726
4,Circle,7,9,4.734513274,2.002212389,1.736725664
4,Circle,8,10,4.734513274,2.002212389,2.002212389
5,Circle,1,3,4.3412527,0.539956803,0.539956803
5,Circle,2,4,4.44924406,0.701943844,0.539956803
5,Circle,3,5,4.481641469,0.842332613,0.701943844
5,Circle,4,6,4.503239741,1.004319654,0.842332613
5,Circle,5,7,4.492440605,1.166306695,1.004319654
5,Circle,6,8,4.438444924,1.306695464,1.166306695
5,Circle,7,9,4.352051836,1.479481641,1.306695464
5,Circle,8,10,4.352051836,1.479481641,1.479481641
6,Circle,1,3,4.3412527,0.539956803,0.539956803
6,Circle,2,4,4.44924406,0.701943844,0.539956803
6,Circle,3,5,4.481641469,0.842332613,0.701943844
6,Circle,4,6,4.503239741,1.004319654,0.842332613
6,Circle,5,7,4.492440605,1.166306695,1.004319654
6,Circle,6,8,4.438444924,1.306695464,1.166306695
6,Circle,7,9,4.352051836,1.479481641,1.306695464
6,Circle,8,10,4.352051836,1.479481641,1.479481641
7,Circle,1,3,4.747757848,0.521300448,0.521300448
7,Circle,2,4,4.915919283,0.773542601,0.521300448
7,Circle,3,5,4.983183857,0.986547085,0.773542601
7,Circle,4,6,5.005605381,1.210762332,0.986547085
7,Circle,5,7,4.983183857,1.423766816,1.210762332
7,Circle,6,8,4.915919283,1.653587444,1.423766816
7,Circle,7,9,4.792600897,1.900224215,1.653587444
7,Circle,8,10,4.792600897,1.900224215,1.900224215
8,Circle,1,3,4.18301569,0.350136665,0.350136665
8,Circle,2,4,4.26310014,0.489818845,0.350136665
8,Circle,3,5,4.304073579,0.612739164,0.489818845
8,Circle,4,6,4.315248154,0.733797053,0.612739164
8,Circle,5,7,4.305936008,0.854854943,0.733797053
8,Circle,6,8,4.268687427,0.98150012,0.854854943
8,Circle,7,9,4.179290832,1.123044729,0.98150012
8,Circle,8,10,4.179290832,1.123044729,1.123044729
9,Circle,1,3,4.553571429,0.543154762,0.543154762
9,Circle,2,4,4.694940476,0.79985119,0.543154762
9,Circle,3,5,4.765625,1.023065476,0.79985119
9,Circle,4,6,4.799107143,1.246279762,1.023065476
9,Circle,5,7,4.773065476,1.462053571,1.246279762
9,Circle,6,8,4.698660714,1.685267857,1.462053571
9,Circle,7,9,4.54985119,1.941964286,1.685267857
9,Circle,8,10,4.54985119,1.941964286,1.941964286
10,Circle,1,3,4.65942029,0.673913043,0.673913043
10,Circle,2,4,4.847826087,0.985507246,0.673913043
10,Circle,3,5,4.942028986,1.253623188,0.985507246
10,Circle,4,6,4.956521739,1.52173913,1.253623188
10,Circle,5,7,4.920289855,1.775362319,1.52173913
10,Circle,6,8,4.847826087,2.050724638,1.775362319
10,Circle,7,9,4.666666667,2.347826087,2.050724638
10,Circle,8,10,4.666666667,2.347826087,2.347826087
11,Circle,1,3,4.973484848,0.763890152,0.763890152
11,Circle,2,4,5.200757576,1.137625,0.763890152
11,Circle,3,5,5.291666667,1.476011364,1.137625
11,Circle,4,6,5.342170455,1.799242424,1.476011364
11,Circle,5,7,5.352272727,2.117424242,1.799242424
11,Circle,6,8,5.286617424,2.455806818,2.117424242
11,Circle,7,9,5.039140152,2.824496212,2.455806818
11,Circle,8,10,5.039140152,2.824496212,2.824496212
12,Circle,1,3,4.889135255,0.66518847,0.66518847
12,Circle,2,4,5.055432373,0.975609756,0.66518847
12,Circle,3,5,5.144124169,1.258314856,0.975609756
12,Circle,4,6,5.166297118,1.529933481,1.258314856
12,Circle,5,7,5.149667406,1.807095344,1.529933481
12,Circle,6,8,5.072062084,2.084257206,1.807095344
12,Circle,7,9,4.933481153,2.400221729,2.084257206
12,Circle,8,10,4.933481153,2.400221729,2.400221729
13,Circle,1,3,4.278501082,0.505048701,0.505048701
13,Circle,2,4,4.404761905,0.689031385,0.505048701
13,Circle,3,5,4.462483766,0.840546537,0.689031385
13,Circle,4,6,4.462483766,0.992061688,0.840546537
13,Circle,5,7,4.444442641,1.14357684,0.992061688
13,Circle,6,8,4.401152597,1.298701299,1.14357684
13,Circle,7,9,4.296536797,1.479074675,1.298701299
13,Circle,8,10,4.296536797,1.479074675,1.479074675
14,Circle,1,3,5.249433107,0.831443689,0.831443689
14,Circle,2,4,5.52154195,1.26984127,0.831443689
14,Circle,3,5,5.665154951,1.655328798,1.26984127
14,Circle,4,6,5.695389267,2.033257748,1.655328798
14,Circle,5,7,5.67271353,2.38851096,2.033257748
14,Circle,6,8,5.604686319,2.773998488,2.38851096
14,Circle,7,9,5.340136054,3.204837491,2.773998488
14,Circle,8,10,5.340136054,3.204837491,3.204837491
15,Circle,1,3,5.55785124,0.826446281,0.826446281
15,Circle,2,4,5.826446281,1.260330579,0.826446281
15,Circle,3,5,5.960743802,1.642561983,1.260330579
15,Circle,4,6,5.97107438,2.035123967,1.642561983
15,Circle,5,7,5.929752066,2.407024793,2.035123967
15,Circle,6,8,5.83677686,2.77892562,2.407024793
15,Circle,7,9,5.630165289,3.223140496,2.77892562
15,Circle,8,10,5.630165289,3.223140496,3.223140496
16,Circle,1,3,4.265046296,0.451388889,0.451388889
16,Circle,2,4,4.340277778,0.590277778,0.451388889
16,Circle,3,5,4.403935185,0.711805556,0.590277778
16,Circle,4,6,4.415509259,0.833333333,0.711805556
16,Circle,5,7,4.415509259,0.949074074,0.833333333
16,Circle,6,8,4.369212963,1.064814815,0.949074074
16,Circle,7,9,4.305555556,1.197916667,1.064814815
16,Circle,8,10,4.305555556,1.197916667,1.197916667
17,Circle,1,3,5.266343826,0.811138015,0.811138015
17,Circle,2,4,5.447941889,1.222760291,0.811138015
17,Circle,3,5,5.581113801,1.573849879,1.222760291
17,Circle,4,6,5.581113801,1.937046005,1.573849879
17,Circle,5,7,5.556900726,2.263922518,1.937046005
17,Circle,6,8,5.460048426,2.615012107,2.263922518
17,Circle,7,9,5.217917676,3.014527845,2.615012107
17,Circle,8,10,5.217917676,3.014527845,3.014527845
18,Circle,1,3,4.590464548,0.493074572,0.493074572
18,Circle,2,4,4.700488998,0.721271394,0.493074572
18,Circle,3,5,4.761613692,0.912793399,0.721271394
18,Circle,4,6,4.78606357,1.108392421,0.912793399
18,Circle,5,7,4.769761614,1.291766504,1.108392421
18,Circle,6,8,4.716790954,1.487365526,1.291766504
18,Circle,7,9,4.586387531,1.707414425,1.487365526
18,Circle,8,10,4.586387531,1.707414425,1.707414425
19,Circle,1,3,4.80964467,0.609137056,0.609137056
19,Circle,2,4,4.993654822,0.881979695,0.609137056
19,Circle,3,5,5.063451777,1.129441624,0.881979695
19,Circle,4,6,5.08248731,1.370558376,1.129441624
19,Circle,5,7,5.050761421,1.598984772,1.370558376
19,Circle,6,8,4.987309645,1.846446701,1.598984772
19,Circle,7,9,4.854060914,2.125634518,1.846446701
19,Circle,8,10,4.854060914,2.125634518,2.125634518
20,Circle,1,3,4.850107066,0.663811563,0.663811563
20,Circle,2,4,5.053533191,0.979657388,0.663811563
20,Circle,3,5,5.144539615,1.263383298,0.979657388
20,Circle,4,6,5.182012848,1.541755889,1.263383298
20,Circle,5,7,5.149892934,1.809421842,1.541755889
20,Circle,6,8,5.080299786,2.093147752,1.809421842
20,Circle,7,9,4.892933619,2.425053533,2.093147752
20,Circle,8,10,4.892933619,2.425053533,2.425053533